"","SPECIES","SURVEY","CRUISE","VESSEL_NAME","YEAR","LATITUDE","LONGITUDE","DEPTH_M","BOTTOM_TEMPERATURE_C","WEIGHT_KG","COUNT","AREA_SWEPT_KM2","CPUE_KGKM2","CPUE_NOKM2","ColdPool_Extent"
"1","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.66179,-178.1456,159,2.5,0,0,0.044428968,0,0,-0.0048340472280944
"2","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.65791,-177.49997,147,0.8,0,0,0.049899444,0,0,-0.0048340472280944
"3","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.31444,-177.37006,147,1.5,0,0,0.045954756,0,0,-0.0048340472280944
"4","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.98789,-177.20079,137,1.1,0,0,0.045006839,0,0,-0.0048340472280944
"5","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.01157,-177.88314,141,1.8,0,0,0.044427384,0,0,-0.0048340472280944
"6","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.64716,-177.13518,176,3.6,0,0,0.046980048,0,0,-0.0048340472280944
"7","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.3272,-177.04253,149,2.4,0,0,0.045427137,0,0,-0.0048340472280944
"8","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.31112,-168.24463,155,4,0,0,0.02243226,0,0,-0.0048340472280944
"9","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.33876,-169.33602,138,4.1,0,0,0.022908028,0,0,-0.0048340472280944
"10","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.00312,-172.68269,122,3.1,0,0,0.043428401,0,0,-0.0048340472280944
"11","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.99092,-173.26114,141,3.6,0,0,0.043007517,0,0,-0.0048340472280944
"12","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.99856,-172.05297,118,3.3,0,0,0.045375078,0,0,-0.0048340472280944
"13","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.6666,-171.9927,126,3.6,0,0,0.045263988,0,0,-0.0048340472280944
"14","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.67903,-172.58205,135,3.7,0,0,0.045295552,0,0,-0.0048340472280944
"15","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.66523,-172.19756,108,2.5,0,0,0.04942608,0,0,-0.0048340472280944
"16","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.66037,-172.81148,119,2.7,0,0,0.044317794,0,0,-0.0048340472280944
"17","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.65756,-173.42668,148,3.8,0,0,0.03293322,0,0,-0.0048340472280944
"18","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.33198,-172.10465,109,2.8,0,0,0.04649202,0,0,-0.0048340472280944
"19","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.33825,-172.81487,117,3,0,0,0.04660782,0,0,-0.0048340472280944
"20","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.31454,-173.35268,122,3.2,0,0,0.044315772,0,0,-0.0048340472280944
"21","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.99047,-173.43549,118,2.8,0,0,0.045987525,0,0,-0.0048340472280944
"22","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.00183,-172.81007,109,2.4,0,0,0.0289044,0,0,-0.0048340472280944
"23","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.3421,-172.9489,110,2.3,0,0,0.043017275,0,0,-0.0048340472280944
"24","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.33283,-173.60936,116,2.7,0,0,0.043578612,0,0,-0.0048340472280944
"25","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.01624,-172.25642,105,2.1,0,0,0.0448932,0,0,-0.0048340472280944
"26","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.33008,-172.30684,103,1.9,0,0,0.044649648,0,0,-0.0048340472280944
"27","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.68071,-172.37988,102,1.7,0,0,0.045722096,0,0,-0.0048340472280944
"28","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.6711,-173.03151,113,2,0,0,0.044771754,0,0,-0.0048340472280944
"29","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.69289,-173.63735,126,2.4,0,0,0.045710808,0,0,-0.0048340472280944
"30","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.01122,-173.73614,118,1.8,0,0,0.047018847,0,0,-0.0048340472280944
"31","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.00257,-174.39601,127,2.2,0,0,0.044106918,0,0,-0.0048340472280944
"32","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.0115,-175.0465,130,2.7,0,0,0.044365088,0,0,-0.0048340472280944
"33","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.34459,-174.32633,176,3.6,0,0,0.043470064,0,0,-0.0048340472280944
"34","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.67967,-174.27299,157,3.1,0,0,0.04573581,0,0,-0.0048340472280944
"35","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.68516,-174.96253,192,3.5,0,0,0.0424953,0,0,-0.0048340472280944
"36","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.65185,-175.57967,136,2.7,0,0,0.041533618,0,0,-0.0048340472280944
"37","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.6672,-176.24092,140,2.4,0,0,0.04261692,0,0,-0.0048340472280944
"38","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.6781,-176.85094,135,2.8,0,0,0.044776348,0,0,-0.0048340472280944
"39","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.00356,-176.96413,136,2.6,0,0,0.043517604,0,0,-0.0048340472280944
"40","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.99806,-177.64293,135,3.1,0,0,0.04440975,0,0,-0.0048340472280944
"41","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.01617,-175.73917,134,1.6,0,0,0.042966216,0,0,-0.0048340472280944
"42","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.34086,-175.73359,137,1.4,0.202,1,0.028191108,7.16537994888317,35.4721779647682,-0.0048340472280944
"43","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.33758,-175.0684,133,2.4,0,0,0.02878956,0,0,-0.0048340472280944
"44","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.33669,-174.42704,121,1.9,0,0,0.04406647,0,0,-0.0048340472280944
"45","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.66928,-173.28441,96,1.2,0,0,0.04661118,0,0,-0.0048340472280944
"46","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.68179,-173.92541,106,1.5,0.21,1,0.047357772,4.43433022989341,21.1158582375877,-0.0048340472280944
"47","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.33538,-173.77934,110,1.6,0,0,0.0458177,0,0,-0.0048340472280944
"48","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.31921,-173.12098,100,1.3,0,0,0.042871167,0,0,-0.0048340472280944
"49","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.9908,-173.05894,107,1.5,0,0,0.042206544,0,0,-0.0048340472280944
"50","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.00443,-172.40673,99,1.1,0,0,0.043046266,0,0,-0.0048340472280944
"51","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.01926,-176.3096,135,1.9,0,0,0.04504674,0,0,-0.0048340472280944
"52","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.36137,-176.39128,136,1.2,0,0,0.046315446,0,0,-0.0048340472280944
"53","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.69155,-176.54489,137,1.3,0,0,0.045644014,0,0,-0.0048340472280944
"54","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.01773,-176.71713,142,1,0,0,0.04391901,0,0,-0.0048340472280944
"55","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.34486,-172.4827,88,0.8,0,0,0.04206666,0,0,-0.0048340472280944
"56","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.66395,-172.56746,84,0.6,0,0,0.041788539,0,0,-0.0048340472280944
"57","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.97502,-175.92346,129,1.9,0,0,0.032795763,0,0,-0.0048340472280944
"58","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.66869,-175.83972,136,1.6,0,0,0.04374384,0,0,-0.0048340472280944
"59","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.6752,-175.10971,126,2.1,0,0,0.048702368,0,0,-0.0048340472280944
"60","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.01988,-175.26898,117,1.7,0,0,0.044604,0,0,-0.0048340472280944
"61","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.33433,-175.43046,111,1.5,0,0,0.048001672,0,0,-0.0048340472280944
"62","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.32907,-176.0772,122,1.6,0,0,0.047348496,0,0,-0.0048340472280944
"63","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.33684,-176.73828,137,0.9,0,0,0.0435981,0,0,-0.0048340472280944
"64","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.6829,-176.81906,130,1,0,0,0.048628503,0,0,-0.0048340472280944
"65","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.67734,-174.44648,115,1.6,0,0,0.04639768,0,0,-0.0048340472280944
"66","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.0142,-174.57172,107,1.5,0,0,0.04788022,0,0,-0.0048340472280944
"67","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.00389,-173.95257,97,1.3,0,0,0.046292096,0,0,-0.0048340472280944
"68","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.34156,-174.07859,91,1.3,0,0,0.048848957,0,0,-0.0048340472280944
"69","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.3457,-174.74264,105,1.4,0,0,0.043629388,0,0,-0.0048340472280944
"70","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.66888,-174.84858,98,1.4,0,0,0.04647786,0,0,-0.0048340472280944
"71","YFS","EBS",202401,"ALASKA KNIGHT",2024,60.65718,-175.53056,109,1.4,0,0,0.050499365,0,0,-0.0048340472280944
"72","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,60.67654,-176.20567,118,1.3,0,0,0.048190658,0,0,-0.0048340472280944
"73","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.00631,-176.31515,112,1.2,0,0,0.047036999,0,0,-0.0048340472280944
"74","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.0053,-176.99327,122,0.9,0,0,0.04842398,0,0,-0.0048340472280944
"75","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.00458,-177.61653,135,0.9,0,0,0.048543244,0,0,-0.0048340472280944
"76","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.34328,-176.94134,115,1.3,0,0,0.0473688,0,0,-0.0048340472280944
"77","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.34054,-176.29993,107,1,0,0,0.046848456,0,0,-0.0048340472280944
"78","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,61.67636,-176.45947,105,0.9,0,0,0.047959953,0,0,-0.0048340472280944
"79","YFS","EBS",202401,"ALASKA KNIGHT",2024,61.0115,-175.53642,103,1.3,0,0,0.044830566,0,0,-0.0048340472280944
"80","YFS","EBS",202401,"ALASKA KNIGHT",2024,61.01939,-174.92311,93,1.3,0,0,0.047709528,0,0,-0.0048340472280944
"81","YFS","EBS",202401,"ALASKA KNIGHT",2024,61.34119,-175.05824,88,1.2,0,0,0.052276125,0,0,-0.0048340472280944
"82","YFS","EBS",202401,"ALASKA KNIGHT",2024,61.34364,-175.72853,98,1.2,0.376,1,0.048764904,7.71046324627236,20.5065511868946,-0.0048340472280944
